Company Name,Ticker,Cash Flow ,Net Margin,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Current Ratio,Debt/Equity Ratio,Last Qtr EPS,12 Mo Trailing EPS,EBITDA ,EBIT ,Annual Sales,Dividend ,Market Value/# Analysts,Current ROA (TTM),ROA (5 Yr Avg),52 Week High,Market Cap ,Div. Yield %,PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,P/E (Trailing 12 Months),Shares Outstanding ,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Operating Margin 12 Mo,Avg Volume
"AcelRx Pharmaceuticals, Inc.","ACRX","-49.76801","-6.44","-.81","11.35999","13.65999","63.40999","4.01","-.15","-.2","-.91","-36.43001","-38.17","7.99","0","46.20749","-62.39","-39.605","5.5","184.83","0","","","","54.55","","60.6","","","-223.543","-1329.13","597160.5"
"American Capital Senior Floating, Ltd.","ACSF","5.5",".33","12.76","101.91","1.57","3","4.96",".8",".22","","13.65999","13.85999","17.52","1.164","","1.82","3.9326","12.5","123","9.46","","22.36",".96","7.2","","10","3.27","1.84","3.9749","24.92","56681.45"
"Acasti Pharma, Inc.","ACST","-6.60901","","","0","1.32","4.65","","","-.18","-.87","-6.64","-8.02001",".03","0","","-61.82","-30.021","3.1","16.85","0","","","","","","36.63","-72.79","-68.58","-34.257","","232736.05"
"Acacia Research Corporation","ACTG","172.869",".34","4.74","0","9.55","139.69","10.57","0",".13","2.93","46.86999","24.62999","65.4","0","193.0305","42.39","9.13409","5.05","193.03","0","","1.14",".82","1.78","1.41","49.49","46.49","46.49","9.9862","128.55","128037.6"
"Acme United Corporation.","ACU","8.187",".03","15.48","47.15999","16.78","77.80999","4.62",".92",".67","1.36","10.72999","7.84","130.55",".41999","71.69962","4.42","5.83879","27.85","71.7","2.07","1.39","8.76","1.37",".53","15.63","3.37","9.82","5.13","6.9397","3.69","6432.2"
"Acura Pharmaceuticals, Inc.","ACUR","-5.292","-1.92","-.12","0","4.63","2.55999",".23","-.54","-.06","-.33","-4.83","-5.22","2.97","0","","-151.17","-58.72601",".84","5.05","0","","","","11.71","","21.03","-765.25","-1539.29","-163.57801","-1552.9","14506.6"
"Acusphere Inc.","ACUS","","","","","","","","","","","","","","0","","","",".14",".15","0","","","","","","4.95","","","","","5919.25"
"iShares MSCI ACWI ETF","ACWI","","","","","","","","","","","","","","1.40149","","","","77.54","8736.22","2.03","","","","","","120.4","","","","","1814883.63"
"Acxiom Corporation","ACXM","121.148",".03","9.33","227.83","178.35","360.33999","1.92",".31",".24","1.04","97.19999","10.82999","917.41","0","3429.10278","2.45","3.0309","44.33","3429.1","0","26.08","28.6","4.75","3.68","119.81","77.35","3.93","3.01","4.0514","3.16","889374.69"
"Adaptimmune Therapeutics PLC","ADAP","-64.71801","-1.85","1.75","0","74.30999","230.17999","3.82","0","-.48","-1.01","-64.26001","-69.68001","37.83","0","133.05543","-35.76","-24.47901","13.74","798.33","0","","","4.84","16.4","","94.14","-47.22","-47.22","-31.09901","-191.14","416798.84"
"Adobe Systems Incorporated","ADBE","2125.79296",".23","17.78","1881.42004","3527.44995","7247.81005","2.08",".22","1.66","5.57","2538.03002","2212.04003","7301.5","0","24062.03906","15.7","7.952","263.17","120310.2","0","2.67","56.97","13.82","14.81","53.3","489.66","27.08","22.17","10.73099","28.32","2402297"
"Agree Realty Corporation","ADC","90.842",".5","31.28","519.55999","30.87999","66.27999","1.03",".71",".71","2.82","109.65","76.91999","116.56","2.025","203.25097","3.87","4.40049","55.89","1626.01","3.86","3.86","17.98","1.79","12.3","19.82","29.09","6.53","4.03","4.5432","43.9","140088.09"
"Adidas AG","ADDYY","2159.03491",".05","20.5","1111.07995","7110.70996","9771.44042","1.42","","1.22","4.63","2938.76","2391.69995","23968.38",".79594","6043.45898","10.9","7.01389","132.2","48347.67",".95","1.56","22.39","5.78","1.88","25.61","407.72","24.45","21.27","13.321","7.36","29734.2"
"Advanced Emissions Solutions, Inc.","ADES","35.02999",".78","4.01","0","6.86999","36.88","9.87","0",".75","2","56.4","55.04","35.69",".75","222.23759","48.94","-1.9085","12.01","222.24","9.05","","6.65","2.76","20.19","5.53","20.11","54.3","54.3","-126.21801","377.25","53312.45"
"American Defense Systems Inc.","ADFS","","","","","","","","","","","","","","0","","","",".02","1.01","0","","","","","","56.09","","","","","60683"
"Analog Devices, Inc.","ADI","2240.09204",".14","28.54","7551.08007","1596.32995","2351.33007","1.53","","1.45","5.58","1663.36999","1079.31994","5107.5","1.76999","2698.41821","9.95","11.26299","102.1","35079.44","2.03","1.31","15.56","3.31","5.84","16.95","370.9","20.34","11.74","13.635","34.72","1904519.75"
"Adial Pharmaceuticals, Inc.","ADIL","","","","","","","","","","","","","","0","","","","4.25","25.11","0","","","","","","6.54","","","","","37133.54"
"American Medical Technologies Inc.","ADLI","","","","","","","","","","","","","","0","","","","0",".04","0","","","","","","10.39","","","","","1361.5"
"Advanced Life Sciences Holdings Inc.","ADLS","","","","","","","","","","","","","","0","","","",".01","0","0","","","","","","10.79","","","","","5186"
"Archer Daniels Midland Company","ADM","2313.08007",".03","33.43","6623","12570","19925","1.59",".32","1.02","2.97","2863","1939","60828","1.27999","7073.67626","4.24","3.89969","50.55","28294.71","2.65","","12.22","1.51",".45","17.02","559.74","9.19","6.78","6.49539","2.65","3935398"
"ADMA Biologics Inc","ADMA","-40.42901","-1.92","1.12","40.20999","9.43999","63.15999","10.65",".79","-.35","-.35","-37.14","-40.47001","22.76","0","51.91087","-29.51","-68.14901","6.52","259.55","0","","","5.02","10.21","","46.35","-89.78","-41.22","-100.74","-113.05","402927.75"
"Adamant Dri Processing And Minerals Group","ADMG","-4.29401","-4.08","-.36",".18999","61.81999","7.78",".12","","-.02","-.1","-3.25","-6.13001","1.76","0","","-16.59","-18.89501",".25",".8","0","","","","","","66.76","","","","","50737.75"
"Adamis Pharmaceuticals Corporation","ADMP","-22.47901","-1.95",".54","2.57999","8.77999","21.45999",".78",".09","-.29","-.97","-22.58","-25.64","13.07","0","38.62098","-67.32","-71.808","5.65","115.86","0","","","4.56","8.69","","47.29","-88.96","-83.17","-94.004","-240.92","790658.38"
"Adamas Pharmaceuticals, Inc.","ADMS","-87.84","-156.73","5.24","102.63999","16.6","179.16999","9.92",".78","-1.26","-4.92","-84.93001","-86.58001",".57","0","101.64528","-54.21","-8.8362","42.65","609.87","0","","","4.28","57.07","","27.19","-104.86","-59.32","-8.99371","-1138.59","695458"
"ADM Tronics Unlimited Inc.","ADMT",".14",".03",".06",".05",".72","3.10999","4.32","","0","0","-.0133","-.0433","3.75","0","","7.24","14.602",".22","11.96","0","","85.45","3.17","3.18","","67.59","8.7","8.56","-7.7714","8.71","25788.55"
