Company Name,Ticker,Cash Flow ,Net Margin,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Current Ratio,Debt/Equity Ratio,Last Qtr EPS,12 Mo Trailing EPS,EBITDA ,EBIT ,Annual Sales,Dividend ,Market Value/# Analysts,Current ROA (TTM),ROA (5 Yr Avg),52 Week High,Market Cap ,Div. Yield %,PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,P/E (Trailing 12 Months),Shares Outstanding ,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Operating Margin 12 Mo,Avg Volume
"Leap Technology Inc.","LPTC","-.46501","","","3.97",".05",".56","","","","","-.33001","-.33001","","0","","","-40.732",".65","13.04","0","","","","","","65.2","","","","","2631.8"
"LightPath Technologies, Inc.","LPTH","10.251","","1.4","10.06","5.75","19.71999","3.66","",".04",".32","5.84999","3.76999","28.37","0","17.6693","17.85","5.4537","4.01","53.01","0","1.06","4.85","1.47","1.58","6.44","25.73","26.31","20.64","6.6662","25.22","175630.84"
"Leap Therapeutics, Inc.","LPTX","-29.931","",".84","0","6.07999","27.64999","5.32","0","-.45","-2.29","-29.72","-29.76001","","0","33.01394","-86.48","","10.01","99.04","0","","","8.16","","","14.5","-203.23","-203.23","","","38127.05"
"Louisiana-Pacific Corporation","LPX","464.29998",".14","12.37","350.79998","270.1","1359.59997","5.68",".2","1.08","3.14","652.79998","529.5","2733.9","0","1077.15649","18.59","4.47419","31.06","4308.63","1.72","2.01","9.42","2.44","1.47","9.61","142.72","28.21","23.21","5.7795","15.66","1851170.25"
"iShares iBoxx $ Investment Grade Corporate Bond ETF","LQD","","","","","","","","","","","","","","3.77139","","","","121.79","34025.6","3.37","","","","","","293.4","","","","","5586065"
"Liquidia Technologies, Inc.","LQDA","","","","","","","","","","","","","","0","","","","14.9","229.94","0","","","","","","15.43","","","","","148684.75"
"Liquidity Services, Inc.","LQDT","-24.89901","-.15","3.9","0","70.75","138.91999","1.85","0","-.07","-.66","-33.84001","-39.63001","270.02","0","116.44587","-10.34","-.74836","7.4","232.89","0","","","1.86","1.08","","32.12","-16.3","-16.3","-1.79201","-9.78","82721.4"
"Liquidmetal Technologies Inc.","LQMT","-8.05701","-27.04",".05","0",".46","42.18","129.2","0","0","0","-8.06001","-8.69",".32","0","","-15.2","-85.87201",".41","163.61","0","","","3.42","467.47","","909.97","-16.54","-16.54","-195.00701","-2348.86","1123860.75"
"LRAD Corporation","LRAD","-.727","-.04","1.05","0","3.67","29.07999","4.97",".01","0",".03","-.52","-.67001","20.31","0","","2.2","8.50969","3.02","99.47","0","","","2.87","3.31","100.67","32.94","2.51","2.5","9.29139","2.89","83837.05"
"Lam Research Corporation","LRCX","3540.18798",".21","41.76","1806.56005","3150.30004","9149.91015","2.9",".27","5.31","17.9","2143.85009","1811.67004","11077","2.54999","2974.9353","24.87","12.517","228.65","26774.42","2.59",".66","7.87","4.07","2.42","9.49","157.58","47.14","37.29","17.31299","28.88","2785930"
"L'Oreal SA","LRLCY","5883.11816",".14","10.03","15.14","10368.69042","12454.78027","1.2","","","","6760.31005","5383.04003","29397.02",".55346","43521.49609","","","49.65","130564.49","1.44","4.38","22.17","4.65","","","2798.81","","","","","42873.3"
"K12 Inc","LRN","102.87999",".03","14.84","12.65999","116.22","459.23001","3.95",".02",".23",".67","100.80999","25.54999","917.73","0","337.95343","3.67","3.2253","18.14","675.91","0","1.95","6.84","1.15",".74","25.49","39.57","4.72","4.61","4.20009","3.01","142733.41"
"Lattice Semiconductor Corporation","LSCC","60.89799","-.18","1.82","299.66","83.63999","263.36999","3.11","1.15",".1",".2","8.93","-50.91","385.96","0","319.01016","1.85","1.7402","7.78","957.03","0","1.89","15.29","4.15","2.46","83.89","126.76","5.21","2.31","2.01859","3.06","1823517.63"
"Lighting Science Group Corp.","LSCG","-17.786","","","28.85","26.79","26.39999","","","","","-10.65","-13.08","52.7","0","","","-82.56601",".04","2.18","0","","","","","","217.79","","","-461.09202","","6210"
"Life Storage, Inc.","LSI","228.13499",".18","43.21","1726.76","92.94","17.88999",".2",".86","1.39","5.42","299.61999","167.85","529.75","3.95","1191.09594","3.42","4.0619","102.24","4764.38","3.91","4.16","20.86","2.37","8.83","18.86","46.6","6.53","3.52","4.2181","24.52","488411.44"
"LSL PROPERTY","LSLPF","","","","","","","","","","","","","417.26","0","348.93261","","","3.8","348.93","0","","","","","","104.16","","","","","92"
"Landstar System, Inc.","LSTR","198.14799",".05","16.08","83.05999","548.64001","961.20001","1.82",".1","1.51","4.97","284.51998","243.96","3646.36",".37999","428.67468","15.84","13.87399","115.9","4715.42",".58","1.4","24.32","7.13","1.12","23.09","41.09","31.06","27.95","24.547","4.92","333251.91"
"Liberty Media Corporation","LSXMA","","","","","","","","",".49","3.66","","","5425","0","5088.79833","","","48.49","15266.4","0","","","","2.73","12.62","330.51","","","","22.22","346921.19"
"Liberty Media Corporation","LSXMB","","","","","","","","",".49","3.66","","","5425","0","","","","49.09","16178.61","0","","","","2.89","13.37","330.51","","","","22.22","183.05"
"Liberty Media Corporation","LSXMK","","","","","","","","",".49","3.66","","","5425","0","5045.35888","","","48.49","10090.72","0","","","","1.81","12.65","217.9","","","","22.22","457059.25"
"Lightbridge Corporation","LTBR","-6.615","-40.57",".97","0","1.14999","5.07999","18.74","0","-.14","-.87","-6.6","-7.09001",".17","0","","-66.25","-122.951","3.41","25.84","0","","",".9","147.68","","29.48","-71.39","-71.38","-1201.03797","-4060","430989.16"
"LTC Properties, Inc.","LTC","127.15",".52","20.33","667.5","39.41999","325.05999","8.26",".81",".75","3.03","127.15","87.33999","168.07","2.27999","302.67926","8.82","6.72499","49.37","1816.08","4.98","3.8","14.26","2.25","10.92","15.12","39.63","16.84","9.06","6.90329","77.94","159236.75"
"Loud Technologies Inc.","LTEC","","","","","","","","","","","","","","0","","","",".11",".13","0","","","","","","4.86","","","","","1388.45"
"Littlefield Corp.","LTFD","","","","","","","","","","","","","","0","","","",".55","3.48","0","","","","","","17.4","","","","","545"
"LATAM Airlines Group S.A.","LTM","155.304",".02","7.12","0","5842.70996","3745.48999",".61","",".15",".29","767.48999","767.48999","9613.91",".02228","1455.37683","1.07",".12229","17.19","5821.51",".35","","37.48","1.35",".59","33.1","606.41","4.74","4.74",".68949","2.05","444549"
"PIMCO 15+ Year U.S. TIPS Index Exchange-Traded Fund","LTPZ","","","","","","","","","","","","","","1.55669","","","","69.23","251.5","3.08","","","","","","3.77","","","","","17769.7"
"Learning Tree International Inc.","LTRE",".18899","-.03","-1.07",".36","29.19","18.84",".62","-.15","-.02","-.04",".28","-1.66","70.66","0","","-2.53","-15.35901","3","13.22","0","","69.97","",".2","","13.22","","","-373.68","-.94","1144.35"
"Liberty TripAdvisor Holdings, Inc.","LTRPA","1614","-.25","48.58","704","372","1045","1.25",".07","-.52","17.95","-1572","-1785","1569","0","","22.85","4.0802","18.05","1148.39","0","",".71",".31",".73",".85","75.06","32.78","28.93","5.0875","85.68","485651.25"
"Liberty TripAdvisor Holdings, Inc.","LTRPB","228","","","620","320","906","","","-.52","","300","32","1532","0","","","-.28577","17.85","1182.16","0","",".2","","","","75.06","","","-.35193","","107.85"
"Lantronix, Inc.","LTRX","1.25899","","1.2",".05","8.97999","19.37999","2.18","",".04",".11",".40999","-.18001","44.73","0","","3.28","-3.09821","3.73","66.79","0","","51.13","3.06","1.5","61","18.25","4.78","4.77","-4.68611","2.26","110786.65"
"Ladenburg Thalmann Financial Services Inc","LTS","82.41699",".01","1.94","0","238.35","334.82998","1.22","0","0","-.02","40.61","3.89","1268.15",".00999","659.45709","4.56","1.53929","3.81","659.46","1.22","","7.9","1.69",".49","","201.05","7.9","7.9","2.56999","2.2","131704.16"
"Lightscape Technologies Inc.","LTSC","","","","","","","","","","","","","","0","","","",".02",".45","0","","","","","","55.88","","","","","22893.5"
"Lattice Inc.","LTTC","-3.50901","","","2.26719","8.65999","1.71","","","","","-3.83","-4.82001","7.59","0","","","-48.69401",".01",".68","0","","","","","","104.37","","","","","14546.6"
"Lithium Corporation","LTUM","-.33001","","0","0",".51999",".4",".85","","0","","-.33001","-.33001","","0","","-51.86","-75.101",".59","19","0","","","65.78","","","94.99","-211.83","-211.83","-129.135","","73071.7"
"Lotus Pharmaceuticals Inc.","LTUS","","","","","","","","","","","","","","0","","","",".03",".2","0","","","","","","27.82","","","","","2600"
"LTWC Corp.","LTWC","","","","","","","","","","","","","","0","","","","0",".01","0","","","","","","75.75","","","","","48"
"Luby's, Inc.","LUB","14.65699","-.06","3.87","30.69","44.38","16.98999",".2","0","-.13","-.49","2.86999","-17.91","376.03","0","","-6.63","-1.2779","3.14","63.43","0","","4.27",".56",".17","","29.5","-11.06","-9.31","-1.67841","-3.95","19121.15"
"Lukoil","LUKOY","12740.92578",".07","74.42","8338.75976","16396.27929","22368.75","1.55","","2.7","11.35","14989.32031","9430.90039","101814.5","3","","9.12","5.68909","71.5","55601.3","4.67","","4.36",".88",".52","5.76","850.56","13.43","11.72","7.0854","7.6","48703"
"lululemon athletica inc.","LULU","460.72399",".1","12.06","0","292.58999","1436.28002","5.43","",".55","2.83","568.21997","459.98999","2649.18","0","1104.09265","20.77","20.64999","130.52","17665.48","0","2.56","38.27","10.8","6.36","46","135.69","25.46","25.46","24.58399","13.86","1499589"
"Luna Innovations Incorporated","LUNA","2.49",".32","1.89",".67","14.81999","59.00999","4.7","0",".03",".08","2.4","-.12","46.23","0","98.90925","3.83","-18.07901","4.12","98.91","0","","41.29","1.91","1.95","45.25","27.32","4.98","4.92","-25.47901","4.92","177756.84"
"Lundin Mining Corp.","LUNMF","426.5",".21","5.7","446.51","539.75","2248.09008","4.17","",".11",".58","638.30999","638.30999","2077.5",".09277","","6.58","2.4993","8.02","3579.39","1.89","","8.35",".86","1.73","8.43","731.98","10.42","8.86","3.1623","20.49","29331.35"
"Southwest Airlines Co.","LUV","3325",".16","17.45","4710","6905","4815",".7",".48","1.26","3.66","4534","3316","21171",".47499","3108.88842","8.5","8.39719","66.29","34197.77","1.07","1.2","10.65","3.42","1.61","16.31","573.02","22.16","15.05","16.70199","10.14","4827027.5"
"Luvu Brands, Inc.","LUVU",".40299","","-.03","1.09","4.82","2.99",".55","","0","0",".93",".73","16.93","0","","-1.43","-9.80581",".07","3.38","0","","8.38","",".21","","73.45","","","","-.32","6222.2"
"Luxottica Group, S.p.A.","LUXTY","1527.70605",".11","13.74","1889.04003","2362.95996","3580.17993","1.52","","","","2116.97998","1541.98999","10344.3",".76162","31261.85742","","7.55469","68.09","31261.86","1.41","5.54","20.12","4.69","","","485.06","","","10.437","","16997.2"
"LVMH-Moet Hennessy Louis Vuitton SA","LVMUY","8478.30761",".12","13.49","7964.08984","16957.89062","23828.98046","1.41","","","","11722.33007","9037.87011","48162.69",".68278","86374.60156","","","73.59","172749.2","1.92","2.5","20.38","5.05","","","2535.21","","","","","72554.35"
"Las Vegas Sands Corp.","LVS","3656",".22","10.1","9344","2948","3207","1.7","1.4",".74","3.43","4625","3379","12882","2.92","8649.65722","12.8","10.94699","81.27","51897.95","4.56","","14.24","6.52","3.84","19.2","788","35.22","15.45","13.125","20.09","4146842.5"
"LiveWorld Inc.","LVWD","-1.318","-.14",".04","0","1.55999","2.72","1.59","","-.01","-.02","-1.32001","-1.34001","9.95","0","","-34.89","-24.973",".06",".66","0","","",".56",".07","","33.16","-83.84","-83.84","-40.301","-11.16","51780.15"
"Lamb Weston Holdings Inc.","LW","537.40002",".12","-2.29","2336.69995","518.70001","930.40002","1.79","-6.98",".65","2.67","723.40002","580.09997","3423.7",".75749","3201.29492","14.65","","72.58","9603.88","1.17","1.97","17.85","","2.81","24.57","146.42","-85.84","20.23","","11.5","917319.88"
"Lifeway Foods, Inc.","LWAY","2.76399","0","2.88","3.10999","13.19999","24.68","2.32","",".01","-.08","2.54999","-.56001","118.89","0","","-.61","4.1008","10.56","58.59","0","","21.39","1.28",".53","","15.88","-.84","-.78","5.0472","-.35","9015.35"
"Lightwave Logic Inc.","LWLG","-5.42001","",".06","0",".63999","4.05999","3.62","0","-.02","-.08","-5.2","-5.52","","0","","-112.48","-119.229","1.54","84.33","0","","","18.45","","","77.01","-129.17","-129.17","-127.51101","","56114.65"
"Dephasium Corp.","LWLW","-.01","","-.16","0",".01999","0","0","0","0","","-.01","-.01","","0","","","-2030.85499","2",".2","0","","","","","",".13","","","-1400.21204","","589.5"
"Luxfer Holdings PLC","LXFR","44.678",".03","6.83","93.8","84.4","171.3","2.43",".55",".44","1.33","38.09999","19.1","441.3",".47999","561.58294","8.28","7.00059","21.26","561.58","1.15","","12.57","3.11","1.17","17.15","26.42","19.79","12.6","10.847","7.03","109395.85"
"Luxoft Holding, Inc.","LXFT","114.342",".06","13.9","0","112.94","343.63","2.87","0",".43","2.73","105.27999","62.61","906.77","0","711.52801","11.9","21.30699","58.8","1423.06","0","","12.45","3.02","1.56","20.41","33.84","15.44","15.44","30.721","7.72","321782.31"
"Lexington Realty Trust","LXP","262.91699",".22","4.73","883.84997","1229.03002","170.36999",".14",".64",".25","1.01","344.82998","167.27","391.64",".70249","313.23956",".58","1.6243","10.59","2192.68","7.77","2.07","8.37","1.93","5.37","9.05","239.9","1.69",".95","2.404","4.99","775023.13"
"Lexicon Pharmaceuticals, Inc.","LXRX","-129.06901","-1.43","-.05","231.57","124.12","321.98999","2.71","-45.8","-.33","-1.33","-130.74001","-134.73","90.33","0","220.01655","-37.66","-26.588","15.14","1100.08","0","","","","11.12","","105.88","-369.13","-59.99","-42.81901","-141.38","457527.31"
"Lsb Industries Inc.","LXU","38.847","-.07","13.61","400.25","109.29","163.74","1.63","1.04","-1.27","-2.97","35.34999","-33.79001","427.5","0","","-4.29","-.23146","9.76","197.72","0","","5.05",".51",".51","","28.61","-11.92","-5.23","-.31596","-13.09","151071.55"
"LyondellBasell Industries N.V.","LYB","5270",".14","27.23","8549","4777","11738","2.27",".71","3.34","11.59","7173","5984","34484","3.54999","7338.75732","18.68","17.39999","121.49","44032.54","3.54","1","8.47","4.15","1.17","10.22","389.32","53.77","28.24","27.15399","13.08","1674907"
"Lloyds Banking Group PLC","LYG","13995.0498",".1","3.67","116471.39843","644552","903787.8125","1.43","2.22",".16","1.36","14546.67089","11492.2207","50665.8",".14111","27656.93945",".93",".45884","4.19","55313.88","3.63","","3.95",".84","1.67","2.26","18017.55","15.62","5.29","2.58189","30.52","4602881.5"
"Dragon Victory International Limited","LYL","","","","","","","","","","","","","","0","","","","13.67","27.41","0","","","","","","11.42","","","","","11499.25"
"LoyaltyPoint Inc.","LYLP","","","","","","","","","","","","","","0","","","","0",".01","0","","","","","","102.5","","","","","313"
"Lynas Corp.","LYSDY","-11.214","","","375.04","75.97","82.05","","","","","6.48999","6.48999","193.71","0","","","","2.13","1047.29","0","","","","","","658.67","","","","","11957.55"
"LSI Industries Inc.","LYTS","13.71399","","5.55","49.68999","45.41999","107.12","2.69","",".02",".22","12.43999","3.7","342.02",".2","133.25625","2.43","2.91079","8.69","133.26","3.88",".51","9.54",".93",".39","23.41","25.88","4","2.97","3.5841","1.67","127883.5"
"Live Nation Entertainment, Inc.","LYV","462.68499","-.01","6.72","1952.35998","3577","3152.73999","1.01","1.95",".24","-.59","566.03997","97.33999","10337.45","0","2516.55981","-.43","-.20984","52.41","10066.24","0","","21.52","7.16",".96","","209.06","-2.49","-.87","-.38408","-.35","1412800.13"
"Lonza Group Ag","LZAGY","1234.51",".14","8.53","3790.79003","2208.41992","2777.54003","1.26","","","","1152.46997","734.78002","5186.4","0","11605.83789","","","32.05","23211.68",".84","2.25","18.8","3.65","","","744.68","","","","","28510.2"
"La-Z-Boy Incorporated","LZB","119.32599",".05","13.28",".18999","181.33999","518.21002","2.86","",".66","1.82","161.17999","129.41999","1583.95",".46","499.77731","9.9","9.34039","34.1","1499.33","1.5","","12.58","2.4",".95","17.53","47","14.38","14.38","13.526","5.53","325688.75"
"Macy's, Inc.","M","2102.24804",".06","19.24","5861","5075","7444","1.53",".93",".59","4.12","2774","1828","24837","1.50999","2207.70947","6.53","6.197","41.82","11038.55","4.19","1.06","5.22","1.87",".44","8.75","306.37","23.55","11.28","10.90999","5.07","9120082"
"Mastercard Incorporated","MA","6344",".31","5.08","5424","8793","13797","1.51","1.11","1.66","5.64","8114","6676","12497",".87999","12413.15527","27.21","24.85","214.16","211023.64",".49","1.68","33.76","39.97","15.12","36.03","1038.45","103.82","51.4","45.06499","42.73","3533146.75"
"Mid-America Apartment Communities, Inc.","MAA","813.109",".21","56.93","4502.0498","405.55999","88.86",".15",".7","1.55","5.99","981.26","496.52999","1528.99","3.48","1466.58398","3.01","2.7681","109.11","11732.67","3.58","2.44","14.41","1.81","7.6","17.21","113.81","5.28","3.13","4.3438","22.36","422014.91"
"The Marketing Alliance Inc.","MAAL","",".05","","","","","","",".08",".12","","","31.23",".23","","","","3.21","24.1","7.67","","","",".77","25","8.03","","","","2.78","14310.8"
"Macerich Company (The)","MAC","528.46002",".15","23.5","5170.25976","384.10998","337.92001",".91","1.5",".96","3.87","716.85998","349.02999","993.66","2.86999","2718.5227",".62","2.55329","68.86","8155.57","5.12","2.35","15.4","2.46","8.4","14.94","141.05","1.58",".67","2.7204","6.01","1002131.63"
"Mace Security International Inc.","MACE","","-.01","","","","","","","","","","","9.98","0","","","",".47","19.4","0","","","","","","62.94","","","","","24500.8"
"Merrimack Pharmaceuticals, Inc.","MACK","-69.62401","","4.67","0","19.77","95.04","3.45","0","-1.33","-3.95","-78.53","-83.75","144.27","0","35.1588","-42.77","-79.13701","15.09","70.32","0","","","1.13","","","13.34","-60.33","-52.8","-841.74402","","63812.45"
"MAG Silver Corporation","MAG","-6.47701","","2.54","0",".93","160.83999","330.93","0","-.03","-.09","-5.74","-5.76001","","0","233.23634","-3.54","-7.523","13.05","699.71","0","","","3.22","","","85.54","-3.57","-3.57","-7.72021","","242291.2"
"Marks and Spencer Group PLC","MAKSY","1369.776","0","4.82","2216.37988","2422.55004","1748.44995",".72","","","","1009.86999","239.58999","14186.08",".46724","3097.16821","","","9.48","6194.34","7.7",".89","4.52","1.58","","","812.37","","","","","32731"
"Banyan Rail Services Inc.","MAMP","-.7092","",".13","0",".11999",".74","4.63","0","-.08","","-.6992","-.7","","0","","-122.06","-2033.64502","10","13.05","0","","","38.39","","","2.61","-149.87","-149.87","","","27.65"
"MAM Software Group, Inc.","MAMS","5.144","","1.04","6.38","8.78999","7.88","1.07","",".1",".37","4.86999","4.19999","31.6","0","100.744","15.6","12.86499","8.91","100.74","0","","19.08","7.68","2.92","21.62","12.59","39.31","26.06","20.01499","12.89","9835.6"
"ManpowerGroup","MAN","562.57",".03","43.88","478.1","4810.3999","6171.20019","1.48",".37","2.35","8.23","872.59997","788.20001","21034.3","1.86","1145.52648","6.26","5.73519","136.02","5727.63","2.29","","10.4","2.01",".26","10.72","64.89","19.37","15.89","12.998","2.47","1177394.75"
"Manhattan Associates, Inc.","MANH","128.57499",".2","1.97","0","124.25","228.07","1.38","0",".47","1.8","193.88999","184.83","594.6","0","1174.69287","35.5","33.28799","53.92","3524.08","0","","28.73","27.27","6.19","33.08","65.76","68.14","68.14","57.317","19.34","441825.44"
"ManTech International Corporation","MANT","97.32599",".07","34.62","31","228.27999","367.16","1.68",".02",".5","1.85","132.39999","98.61","1717.02",".83999","506.13623","4.16","3.66449","63.94","2530.68","1.56","3.87","25.77","1.85","1.37","34.56","39.58","5.46","5.33","4.77659","3.94","138643.45"
"Manchester United Ltd.","MANU","201.03599","","16.15","631.09002","525.41998","505.82",".87","","-.05",".31","228.61999","71.69999","737.29",".18","475.30587","2.61","1.9305","23.65","950.61",".76","8.66","4.71","1.46","1.16","76.29","40.19","7.94","3.97","2.77609","6.11","49669.65"
"Marriott International","MAR","1945",".06","8.19","7840","6010","2747",".48","2.95","1.73","5.29","3414","3124","22894","1.28999","4297.44628","8.02","9.8409","147.99","42974.46","1.32","1.82","23.22","15.13","1.96","23.41","346.99","52.81","16.46","79.258","8.84","2257194.75"
"Remark Media, Inc.","MARK","-31.26601","-1.51","-.51","0","90.44999","43.77999",".46","-1.56","-.21","-1.93","-90.48001","-101.81","70.6","0","122.6365","-52.01","-63.17101","14.15","122.64","0","","","","1.62","","33.15","","","-121.20201","-69.94","230446.84"
"Marubeni Corp.","MARUY","2475.62792",".03","99.2","20116.73046","24330.71093","29429.7207","1.16","","4.54","10.24","3211.01","2172.37011","68089.24","2.3348","","3.54","2.1721","81.96","14222","3.38","","5.74",".82",".2","7.99","173.79","13.03","6.32","3.7788","3.14","399.5"
"Masco Corporation","MAS","770",".07",".41","2969","1628","3215","1.67","23.57",".75","2.14","1315","1163","7644",".405","1083.15759","12.05","7.4211","46.27","11914.73","1.08","1.05","15.83","94.56","1.48","18.11","307.48","490.27","21.51","13.298","8.32","3209695.25"
"Masimo Corporation","MASI","157.14799",".16","15.94","0","151.55999","564.10998","5.05","0",".73","2.9","219.42999","199.36999","798.11","0","1964.55029","17.18","15.335","113.81","5893.65","0","2.66","37.42","7.14","6.99","39.24","51.78","21.49","21.49","20.586","19.21","503131.34"
"Mattel, Inc.","MAT","-98.64","-.22","1.93","2873.1101","1623.80004","3111.58007","1.87","4.29","-.56","-1.79","-125.01001","-399.76999","4882",".91","752.71185","-10.78","5.5581","18.81","5268.98",".98","","","7.94","1.12","","344.15","-56.6","-16.59","7.38819","-13.02","3786094.75"
"Mateon Therapeutics, Inc.","MATN","-13.80301","",".01","0","1.63999","1.12999","1.32","0","-.03","-.28","-13.801","-13.81001","","0","5.79879","-459.82","-98.52201",".52","5.8","0","","","10.94","","","41.42","-4138.38","-4138.38","-133.42701","","39282.4"
"Mattersight Corporation","MATR","-7.883","-.35","-.36","18.23999","13.27","21.46999",".9","-.62","-.07","-.37","-7.30001","-13.64001","46.51","0","","-29.58","-39.54601","3","88.83","0","","","","1.76","","33.21","","-81.08","-100.282","-22.26","92288.9"
"Matthews International Corporation","MATW","185.40299",".05","25.96","881.59997","285.13","595.04998","2.05","1.2","1.16","3.79","190.63","122.65","1515.61",".68","1667.4392","5.11","5.2579","64.5","1667.44","1.46","","9.02","2","1.05","13.71","32.1","14.7","6.75","7.04449","7.63","168995.84"
"Matson, Inc.","MATX","178.19999",".11","16.38","826.29998","286.29998","266",".9","1.28",".76","2.16","250.6","149.39999","2046.9",".77999","309.12628","4.09","5.16669","39.2","1545.63","2.32","3.1","8.62","2.21",".73","16.76","42.7","14.4","6.21","9.65729","4.36","168973.7"
"Marui Group Co.","MAURY","257.54998","","","3200.88989","1295.08996","4989.27001","","","","","357.42001","267.05999","2116.26",".50064","","","","44.05","4942.09","1.16","","19.19","","","","114.96","","","","","1830.65"
"Man Wah Holdings Limited","MAWHY","222.41999",".15","4.31","3.05999","376.86999","583.73999","1.55","","","","274.95999","249.28999","1284.4",".60771","","","","22.21","2407.25","4.29","","10.82","2.91","","","191.66","","","","","349.7"
"Maxar Technologies Ltd.","MAXR","255.08",".08","35.92","2942.8999","939.29998","805.29998","1.03","1.45","1.22","4.61","213.69999","46.59999","1257.78",".29455","2196.49389","3.46","","66.46","2196.49","3.07","","8.19","1.03","1.15","9.67","59.13","11.1","4.69","","10.59","566902.31"
"J. W. Mays, Inc.","MAYS","3.88","","26.41","6.42999","2.76999","7.5","3.92","",".16","","5.07999","3.11999","19.54","0","","2.05","2.32859","47","77.17","0","","19.9","1.45","3.97","","2.02","2.58","2.3","2.7307","6.88","2805.55"
"MINDBODY, Inc.","MB","-4.24101","-.08","6.02","14.93","28.69","248.53999","9.61",".86","-.06",".04","-5.47","-14.62","182.63","0","433.16787","-4.84","-26.49601","44.6","1732.67","0","","","6.03","8.18","","47.73","-6.83","-5.35","-33.55401","-8.46","739351.38"
"CIBT Education Group Inc.","MBAIF","3.226",".04","1.01","19.71999","45.24","14.53999",".46","",".09",".09","10.52999","8.98999","40.61","0","","4.46",".50512",".64","49.15","0","","15.11",".61",".87","6.92","78.89","9.84","7.97",".33961","11.95","1815.8"
"iShares MBS ETF","MBB","","","","","","","","","","","","","","2.37269","","","","107.73","12128.82","2.45","","","","","","116.5","","","","","482992.19"
"MBIA, Inc.","MBI","-410","-3.71","12.3","5175","1731","3294","1.79","4.91","-.58","-3.71","-389","-389","433","0","","-4.33","-.65995","11.34","997.58","0","","",".89","2.7","","90.69","-28.41","-6.98","-1.1111","-106.23","1203950.75"
"Marrone Bio Innovations, Inc.","MBII","-29.227","-1.7",".2","62.22","22","19.11","3.64",".88","-.04","-.59","-21.16","-23.20001","18.17","0","197.95429","-54.13","-68.878","3.25","197.95","0","","","9.01","11.24","","110.59","","-104.71","-131.849","-136.35","243831.16"
"Mustang Bio, Inc.","MBIO","-18.85301","","1.9","0","3.60999","61.36","13.11","0","-.19","-.92","-31.27001","-31.272","","0","167.55215","-38.46","","13.1","167.55","0","","","3.25","","","27.11","-41.1","-41.1","","","56004.75"
"METRO BANK PLC","MBNKF","","","","","","","","","","","","","344.86","0","3421.45288","","","57.36","3421.45","0","","","","","","88.52","","","","","2761"
"Microbot Medical Inc.","MBOT","-7.56","",".18","0",".51999","10.93","14.31","0","-.03","","-7.56","-7.58",".12","0","25.33574","-58.76","-153.72301","1.42","25.34","0","","","3.17","","","43.72","-62.01","-62.01","-240.877","","231715.95"
"Mitchells & Butlers Plc","MBPFF","","","","","","","","","","","","","2972.51","0","1356.79174","","","3.61","1356.79","0","","","","","","428.01","","","","","15.75"
"Moleculin Biotech, Inc.","MBRX","-8.634","",".62","0","2.21","8.3","3.14","0","-.2","-.62","-9.79","-9.80001","","0","43.51482","-62.93","","2.8","43.51","0","","","2.6","","","26.86","-76.73","-76.73","","","109475.6"
"Mobile TeleSystems OJSC","MBT","2278.42993",".14","2.4","4088.54003","2679.07006","2497.13989",".84","",".29","1.05","3055.18994","1737.88","6701.55",".70421","","9.88","10.06","12.61","","19.77",".73","3.28","3.12","","7.14","","45.69","14.7","14.571","13.76","2776593.75"
"Malibu Boats, Inc.","MBUU","36.08399","","6.2","53.4","39.18","70.08","1.87","",".89","2.27","57.2","50.20999","281.94","0","162.10646","14.38","18.85799","45.41","810.53","0",".95","19.62","6.37","1.87","17.95","20.52","45.08","23.29","42.95","10.51","106459.45"
"MabVax Therapeutics Holdings, Inc.","MBVX","-18.47","",".15","1.65999","5.8","1.2",".21","","-1.62","-10.89","-17.52001","-18.07",".15","0","","-199.42","-155.46201","2.94","4.3","0","","","3.28","","","8.96","-2767.01","-664.4","-286.72901","","99356.6"
"Moelis & Company","MC","149.09899",".04","6.29","0","163.47","290.79998","2.3","0",".78","2.52","353.89001","350.35","684.61","1.48","1630.36328","23.86","21.93899","66.95","3260.73","3.24","","20.75","9.23","4.19","23.04","56.17","50.56","50.56","41.16899","21.82","528863.75"
"Blackrock MuniYield California Insured Fund, Inc.","MCA","","","","","","","","","","","","","",".7735","","","","15.66","460.7","5","","","","","","34.41","","","","","74815.75"
"Medley Capital Corporation","MCC","39.59","-.16","6.43","487.07998","10.78999","118.94","11","1.21",".02",".38","19.81999","16.6","96.26",".75999","103.50059","2.34","5.1873","6.31","207","10.53","","5.23",".59","2.81","10","54.47","5.03","2.37","5.29449","27.5","272697.56"
"Mestek Inc.","MCCK","","","","","","","","","","","","","","0","","","","35","278.64","0","","","","","","7.96","","","","","63"
"Mcorpcx, Inc.","MCCX","-.191","-.16",".1","0",".3","1.88999","5.41","0",".01","-.04","-.18103","-.40102","2.51","0","","-5.9","-73.474",".31","6.13","0","","","3.14","1.69","","20.43","-6.87","-6.87","-102.34601","-3.7","4132.5"
